MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Run1(ms),Run2(ms),Run3(ms),Run4(ms)
16,16,16,8,8,8,8,2,2,1,0,1,1,1,74.12,72.25,75.28,77.18
16,16,16,8,8,8,8,2,2,1,1,0,0,0,73.16,72.0,72.93,76.6
16,16,16,8,8,8,8,2,2,1,1,0,0,1,71.2,70.22,71.55,75.93
16,16,16,8,8,8,8,2,2,1,1,0,1,0,62.38,60.36,62.7,69.1
16,16,16,8,8,8,8,2,2,1,1,0,1,1,61.43,61.71,62.36,64.71
16,16,16,8,8,8,8,2,2,1,1,1,0,0,74.73,74.77,76.03,79.5
16,16,16,8,8,8,8,2,2,1,1,1,0,1,74.05,73.87,74.93,79.14
16,16,16,8,8,8,8,2,2,1,1,1,1,0,64.26,63.57,64.02,67.27
16,16,16,8,8,8,8,2,2,1,1,1,1,1,73.44,73.51,72.95,76.49
16,16,16,8,8,8,8,2,2,2,0,0,0,0,60.67,60.25,61.37,65.92
16,16,16,8,8,8,8,2,2,2,0,0,0,1,55.01,55.82,56.05,59.73
16,16,16,8,8,8,8,2,2,2,0,0,1,0,51.34,51.8,52.25,56.2
16,16,16,8,8,8,8,2,2,2,0,0,1,1,52.78,52.22,53.45,55.33
16,16,16,8,8,8,8,2,2,2,0,1,0,0,60.33,60.91,61.55,66.01
16,16,16,8,8,8,8,2,2,2,0,1,0,1,55.75,55.01,56.88,59.12
16,16,16,8,8,8,8,2,2,2,0,1,1,0,53.3,53.58,54.6,58.2
16,16,16,8,8,8,8,2,2,2,0,1,1,1,52.9,53.3,54.23,55.72
16,16,16,8,8,8,8,2,2,2,1,0,0,0,61.43,60.23,61.77,65.96
16,16,16,8,8,8,8,2,2,2,1,0,0,1,56.75,57.07,57.0,60.98
16,16,16,8,8,8,8,2,2,2,1,0,1,0,52.37,51.9,52.57,55.93
16,16,16,8,8,8,8,2,2,2,1,0,1,1,52.21,53.0,54.05,54.79
16,16,16,8,8,8,8,2,2,2,1,1,0,0,61.69,60.58,61.45,65.96
16,16,16,8,8,8,8,2,2,2,1,1,0,1,56.89,57.18,57.86,60.94
16,16,16,8,8,8,8,2,2,2,1,1,1,0,53.33,53.89,54.6,58.4
16,16,16,8,8,8,8,2,2,2,1,1,1,1,53.02,51.87,54.42,55.5
16,16,16,8,8,8,8,8,1,1,0,0,0,0,89.68,89.22,89.67,95.54
16,16,16,8,8,8,8,8,1,1,0,0,0,1,80.67,80.6,80.7,85.77
16,16,16,8,8,8,8,8,1,1,0,0,1,0,81.19,81.9,82.19,87.52
16,16,16,8,8,8,8,8,1,1,0,0,1,1,86.26,86.05,86.21,90.67
16,16,16,8,8,8,8,8,1,1,0,1,0,0,90.01,89.81,90.89,96.6
16,16,16,8,8,8,8,8,1,1,0,1,0,1,83.31,83.34,83.5,85.86
16,16,16,8,8,8,8,8,1,1,0,1,1,0,81.05,82.26,82.44,85.01
16,16,16,8,8,8,8,8,1,1,0,1,1,1,95.1,94.81,94.69,95.2
16,16,16,8,8,8,8,8,1,1,1,0,0,0,90.6,93.11,92.76,96.13
16,16,16,8,8,8,8,8,1,1,1,0,0,1,86.58,87.75,87.68,88.49
16,16,16,8,8,8,8,8,1,1,1,0,1,0,84.68,86.01,85.9,86.58
16,16,16,8,8,8,8,8,1,1,1,0,1,1,87.22,87.44,87.59,87.78
16,16,16,8,8,8,8,8,1,1,1,1,0,0,95.81,95.52,95.83,96.28
16,16,16,8,8,8,8,8,1,1,1,1,0,1,92.78,93.83,92.35,94.06
16,16,16,8,8,8,8,8,1,1,1,1,1,0,84.57,86.06,85.65,86.54
16,16,16,8,8,8,8,8,1,1,1,1,1,1,105.56,106.07,106.1,106.71
16,16,16,8,8,8,8,8,1,2,0,0,0,0,71.91,72.67,73.0,73.06
16,16,16,8,8,8,8,8,1,2,0,0,0,1,65.0,65.87,65.81,66.06
16,16,16,8,8,8,8,8,1,2,0,0,1,0,70.5,71.54,71.52,71.57
16,16,16,8,8,8,8,8,1,2,0,0,1,1,63.1,63.11,63.26,62.77
16,16,16,8,8,8,8,8,1,2,0,1,0,0,72.82,72.11,72.76,72.8
16,16,16,8,8,8,8,8,1,2,0,1,0,1,66.21,65.5,65.98,66.03
16,16,16,8,8,8,8,8,1,2,0,1,1,0,70.06,71.1,70.99,71.06
16,16,16,8,8,8,8,8,1,2,0,1,1,1,62.41,64.12,64.24,64.49
16,16,16,8,8,8,8,8,1,2,1,0,0,0,74.3,75.29,75.75,75.84
16,16,16,8,8,8,8,8,1,2,1,0,0,1,70.68,70.59,71.31,71.26
16,16,16,8,8,8,8,8,1,2,1,0,1,0,73.19,74.41,74.6,74.26
16,16,16,8,8,8,8,8,1,2,1,0,1,1,75.27,76.52,75.39,76.98
16,16,16,8,8,8,8,8,1,2,1,1,0,0,75.64,75.51,76.93,75.36
16,16,16,8,8,8,8,8,1,2,1,1,0,1,69.76,71.41,71.28,70.01
16,16,16,8,8,8,8,8,1,2,1,1,1,0,74.45,74.64,74.35,74.55
16,16,16,8,8,8,8,8,1,2,1,1,1,1,76.34,76.75,76.52,76.74
16,16,16,8,8,8,8,8,2,1,0,0,0,0,70.83,72.09,72.0,71.87
16,16,16,8,8,8,8,8,2,1,0,0,0,1,68.68,69.8,69.78,69.66
16,16,16,8,8,8,8,8,2,1,0,0,1,0,64.97,65.09,64.0,65.17
16,16,16,8,8,8,8,8,2,1,0,0,1,1,62.07,60.63,61.43,62.81
